timestamp,type,price,quantity,commission
2000,SELL,118.86,-1,1
2000,BUY,59.51,1,1
2000,SELL,24.24,-1,1
2001,BUY,19.51,1,1
2001,SELL,19.77,-1,1
2001,BUY,22.04,1,1
2001,SELL,18.58,-1,1
2001,BUY,18.96,1,1
2002,SELL,24.65,-1,1
2002,BUY,25.07,1,1
2002,SELL,22.64,-1,1
2002,BUY,23.99,1,1
2002,SELL,22.71,-1,1
2002,BUY,15.62,1,1
2002,SELL,15.18,-1,1
2003,BUY,15.28,1,1
2003,SELL,14.4,-1,1
2003,BUY,18.01,1,1
2003,SELL,20.4,-1,1
2004,BUY,23.01,1,1
2004,SELL,26.66,-1,1
2004,BUY,28.07,1,1
2004,SELL,31.51,-1,1
2004,BUY,34.36,1,1
2005,SELL,42.74,-1,1
2005,BUY,38.25,1,1
2005,SELL,37.09,-1,1
2005,BUY,37.32,1,1
2005,SELL,36.36,-1,1
2005,BUY,37.99,1,1
2006,SELL,67.59,-1,1
2006,BUY,67.64,1,1
2006,SELL,63.539,-1,1
2006,BUY,67.19,1,1
2006,SELL,84.83,-1,1
2007,BUY,94.96,1,1
2007,SELL,83.93,-1,1
2007,BUY,88.41,1,1
2007,SELL,89.99,-1,1
2007,BUY,89.58,1,1
2007,SELL,122.05,-1,1
2007,BUY,135.5,1,1
2007,SELL,174.8,-1,1
2007,BUY,189.963,1,1
2008,SELL,160.88,-1,1
2008,BUY,145.07,1,1
2008,SELL,173.15,-1,1
2008,BUY,174.3,1,1
2008,SELL,151.6,-1,1
2009,BUY,102.52,1,1
2009,SELL,85.29,-1,1
2009,BUY,101.53,1,1
2009,SELL,194.16,-1,1
2009,BUY,209.11,1,1
2010,SELL,195.45,-1,1
2010,BUY,218.96,1,1
2010,SELL,255.955,-1,1
2010,BUY,267.26,1,1
2010,SELL,249.89,-1,1
2010,BUY,260.101,1,1
2010,SELL,249.09,-1,1
2010,BUY,270.23,1,1
2011,SELL,339.18,-1,1
2011,BUY,346.76,1,1
2011,SELL,332.18,-1,1
2011,BUY,354.01,1,1
2011,SELL,384.13,-1,1
2011,BUY,377.49,1,1
2011,SELL,388.82,-1,1
2011,BUY,398.56,1,1
2012,SELL,581.81,-1,1
2012,BUY,587.42,1,1
2012,SELL,628.09,-1,1
2013,BUY,452.98,1,1
2013,SELL,413.49,-1,1
2013,BUY,447.8,1,1
2013,SELL,486.21,-1,1
2013,BUY,501.124,1,1
2014,SELL,540.66,-1,1
2014,BUY,528.71,1,1
2014,SELL,517.95,-1,1
2014,BUY,594.1,1,1
2014,SELL,94.24,-1,1
2014,BUY,96,1,1
2014,SELL,98.74,-1,1
2014,BUY,105.12,1,1
2014,SELL,113.98,-1,1
2015,BUY,118.66,1,1
2015,SELL,125.59,-1,1
2015,BUY,130.29,1,1
2015,SELL,126.59,-1,1
2015,BUY,109.96,1,1
2015,SELL,111.3,-1,1
2015,BUY,115.51,1,1
2015,SELL,110.48,-1,1
2016,BUY,101.88,1,1
2016,SELL,93.63,-1,1
2016,BUY,97.15,1,1
2016,SELL,95.59,-1,1
2016,BUY,99.97,1,1
2016,SELL,107.78,-1,1
2016,BUY,116.65,1,1
2017,SELL,145.86,-1,1
2017,BUY,150.57,1,1
2017,SELL,153.13,-1,1
2017,BUY,166.73,1,1
2018,SELL,156.48,-1,1
2018,BUY,176.22,1,1
2018,SELL,168.37,-1,1
2018,BUY,190.05,1,1
2018,SELL,183.91,-1,1
2018,BUY,191.89,1,1
2018,SELL,215.08,-1,1
2019,BUY,174.25,1,1
2019,SELL,182.77,-1,1
2019,BUY,195.58,1,1
2020,SELL,298.8,-1,1
2020,BUY,275.04,1,1
2020,SELL,120.87,-1,1
2020,BUY,108.78,1,1
2020,SELL,110.43,-1,1
2020,BUY,116.33,1,1
2020,SELL,115.96,-1,1
2020,BUY,119.22,1,1
2021,SELL,125.34,-1,1
2021,BUY,132.04,1,1
2021,SELL,124.68,-1,1
2021,BUY,133.71,1,1
2021,SELL,141.9,-1,1
2021,BUY,148.97,1,1
2022,SELL,159.77,-1,1
2022,BUY,168.89,1,1
2022,SELL,164.31,-1,1
2022,BUY,174.32,1,1
2022,SELL,156.56,-1,1
2022,BUY,148.48,1,1
2022,SELL,153.83,-1,1
2022,BUY,148.12,1,1
2022,SELL,143.2,-1,1
2023,BUY,144.3,1,1
2023,SELL,177.78,-1,1
2023,BUY,184.81,1,1
2024,SELL,186.18,-1,1
2024,BUY,182.41,1,1
2024,SELL,216.23,-1,1
2024,BUY,228.04,1,1
2024,SELL,224.22,-1,1
2024,BUY,237.34,1,1
2025,SELL,222.63,-1,1
2025,BUY,237.31,1,1
2025,SELL,213.48,-1,1
2025,BUY,199.96,1,1
2025,SELL,202.66,-1,1
